姓氏： 鲁 	中签次数： 927， 	 中签率： 0.2189% ，
姓氏： 苏 	中签次数： 810， 	 中签率： 0.1913% ，
姓氏： 孟 	中签次数： 795， 	 中签率： 0.1877% ，
姓氏： 乔 	中签次数： 159， 	 中签率： 0.0375% ，
姓氏： 兰 	中签次数： 174， 	 中签率： 0.0411% ，
姓氏： 单 	中签次数： 570， 	 中签率： 0.1346% ，
姓氏： 边 	中签次数： 184， 	 中签率： 0.0435% ，
姓氏： 燕 	中签次数： 31， 	 中签率： 0.0073% ，
姓氏： 倪 	中签次数： 2472， 	 中签率： 0.5837% ，
姓氏： 石 	中签次数： 719， 	 中签率： 0.1698% ，
姓氏： 戚 	中签次数： 773， 	 中签率： 0.1825% ，
姓氏： 熊 	中签次数： 548， 	 中签率： 0.1294% ，
姓氏： 于 	中签次数： 705， 	 中签率： 0.1665% ，
姓氏： 游 	中签次数： 211， 	 中签率： 0.0498% ，
姓氏： 祝 	中签次数： 1005， 	 中签率： 0.2373% ，
姓氏： 斯 	中签次数： 135， 	 中签率： 0.0319% ，
姓氏： 来 	中签次数： 1090， 	 中签率： 0.2574% ，
姓氏： 仓 	中签次数： 3， 	 中签率： 0.0007% ，
姓氏： 车 	中签次数： 96， 	 中签率： 0.0227% ，
姓氏： 占 	中签次数： 326， 	 中签率： 0.077% ，
姓氏： 茹 	中签次数： 117， 	 中签率： 0.0276% ，
姓氏： 衡 	中签次数： 7， 	 中签率： 0.0017% ，
姓氏： 娄 	中签次数： 332， 	 中签率： 0.0784% ，
姓氏： 原 	中签次数： 19， 	 中签率： 0.0045% ，
姓氏： 卫 	中签次数： 116， 	 中签率： 0.0274% ，
姓氏： 刚 	中签次数： 10， 	 中签率： 0.0024% ，
姓氏： 阎 	中签次数： 40， 	 中签率： 0.0094% ，
姓氏： 汤 	中签次数： 1389， 	 中签率： 0.328% ，
姓氏： 屠 	中签次数： 490， 	 中签率： 0.1157% ，
姓氏： 印 	中签次数： 35， 	 中签率： 0.0083% ，
姓氏： 魏 	中签次数： 1199， 	 中签率： 0.2831% ，
姓氏： 钟 	中签次数： 1984， 	 中签率： 0.4685% ，
姓氏： 戴 	中签次数： 1903， 	 中签率： 0.4494% ，
姓氏： 缪 	中签次数： 647， 	 中签率： 0.1528% ，
姓氏： 睢 	中签次数： 4， 	 中签率： 0.0009% ，
姓氏： 包 	中签次数： 759， 	 中签率： 0.1792% ，
姓氏： 麻 	中签次数： 204， 	 中签率： 0.0482% ，
姓氏： 郜 	中签次数： 26， 	 中签率： 0.0061% ，
姓氏： 容 	中签次数： 6， 	 中签率： 0.0014% ，
姓氏： 葛 	中签次数： 1439， 	 中签率： 0.3398% ，
姓氏： 龙 	中签次数： 183， 	 中签率： 0.0432% ，
姓氏： 白 	中签次数： 407， 	 中签率： 0.0961% ，
姓氏： 谭 	中签次数： 494， 	 中签率： 0.1167% ，
姓氏： 员 	中签次数： 1， 	 中签率： 0.0002% ，
姓氏： 崇 	中签次数： 5， 	 中签率： 0.0012% ，
姓氏： 甘 	中签次数： 201， 	 中签率： 0.0475% ，
姓氏： 邢 	中签次数： 289， 	 中签率： 0.0682% ，
姓氏： 罗 	中签次数： 2049， 	 中签率： 0.4839% ，
姓氏： 尹 	中签次数： 451， 	 中签率： 0.1065% ，
姓氏： 武 	中签次数： 220， 	 中签率： 0.052% ，
姓氏： 危 	中签次数： 19， 	 中签率： 0.0045% ，
姓氏： 酆 	中签次数： 3， 	 中签率： 0.0007% ，
姓氏： 向 	中签次数： 220， 	 中签率： 0.052% ，
姓氏： 阳 	中签次数： 50， 	 中签率： 0.0118% ，
姓氏： 付 	中签次数： 493， 	 中签率： 0.1164% ，
姓氏： 梅 	中签次数： 496， 	 中签率： 0.1171% ，
姓氏： 官 	中签次数： 79， 	 中签率： 0.0187% ，
姓氏： 羊 	中签次数： 148， 	 中签率： 0.0349% ，
姓氏： 喻 	中签次数： 434， 	 中签率： 0.1025% ，
姓氏： 宁 	中签次数： 151， 	 中签率： 0.0357% ，
姓氏： 穆 	中签次数： 87， 	 中签率： 0.0205% ，
姓氏： 索 	中签次数： 9， 	 中签率： 0.0021% ，
姓氏： 骆 	中签次数： 1046， 	 中签率： 0.247% ，
姓氏： 宗 	中签次数： 57， 	 中签率： 0.0135% ，
姓氏： 侯 	中签次数： 344， 	 中签率： 0.0812% ，
姓氏： 计 	中签次数： 110， 	 中签率： 0.026% ，
姓氏： 柯 	中签次数： 370， 	 中签率： 0.0874% ，
姓氏： 田 	中签次数： 1000， 	 中签率： 0.2361% ，
姓氏： 刁 	中签次数： 26， 	 中签率： 0.0061% ，
姓氏： 宓 	中签次数： 45， 	 中签率： 0.0106% ，
姓氏： 饶 	中签次数： 347， 	 中签率： 0.0819% ，
姓氏： 雷 	中签次数： 676， 	 中签率： 0.1596% ，
姓氏： 段 	中签次数： 321， 	 中签率： 0.0758% ，
姓氏： 殷 	中签次数： 393， 	 中签率： 0.0928% ，
姓氏： 皇 	中签次数： 199， 	 中签率： 0.047% ，
姓氏： 闫 	中签次数： 214， 	 中签率： 0.0505% ，
姓氏： 景 	中签次数： 75， 	 中签率： 0.0177% ，
姓氏： 莫 	中签次数： 879， 	 中签率： 0.2076% ，
姓氏： 樊 	中签次数： 310， 	 中签率： 0.0732% ，
姓氏： 相 	中签次数： 68， 	 中签率： 0.0161% ，
姓氏： 沙 	中签次数： 44， 	 中签率： 0.0104% ，
姓氏： 聂 	中签次数： 202， 	 中签率： 0.0477% ，
姓氏： 米 	中签次数： 25， 	 中签率： 0.0059% ，
姓氏： 欧 	中签次数： 314， 	 中签率： 0.0741% ，
